feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,label
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,Cancerous
0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,6.199628022318661e-05,6.199628022318661e-05,1.0,6.199628022318661e-05,16129.0,16129.0,0.0,16129.0,-1.0,-1.0,1.0,-1.0,12.53125,132.0,63.5,63.5,63.5,63.5,63.5,63.5,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,6.199628022318661e-05,6.199628022318661e-05,1.0,6.199628022318661e-05,16129.0,16129.0,0.0,16129.0,-1.0,-1.0,1.0,-1.0,12.53125,132.0,63.5,63.5,63.5,63.5,63.5,63.5,Cancerous
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancerous
0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.2,0.2,1.0,0.2,4.0,4.0,0.0,4.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.2,0.2,1.0,0.2,4.0,4.0,0.0,4.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Cancerous
0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0010395010395010396,0.0010395010395010396,1.0,0.0010395010395010396,961.0,961.0,0.0,961.0,-1.0,-1.0,1.0,-1.0,7.234375,129.0,15.5,15.5,15.5,15.5,15.5,15.5,0.26807086173725053,0.2662897422655116,0.27046432584925767,0.26153235630577026,0.27513518924931823,0.2914587297819634,0.6095193132480309,0.2781557240192835,1487.360975609756,1476.995098039217,22.26225490196081,1550.3529411764725,0.9281073069249388,0.9285383878662535,0.9989228542778641,0.9249851159615604,6.2265625,21.509756097560974,117.12926829268292,117.12926829268292,117.12926829268292,101.70699365334328,101.70699365334328,101.70699365334328,Cancerous
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6255592745907768,0.6207894012136481,0.6401657720905358,0.6278585176274715,0.6472526929116807,0.646650307782757,0.8347863464689119,0.6517782765376587,10960.675958188158,10506.64335664335,1380.9265734265728,11462.53146853146,0.26204169672573385,0.2945961694329568,0.9072861939288162,0.23041895194959958,3.080078125,39.43554006968641,37.98954703832753,37.98954703832753,37.98954703832753,86.17628332152553,86.17628332152553,86.17628332152553,Cancerous
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancerous
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.12779483771790018,0.13005700419311217,0.14630204761342766,0.12672578819110072,0.014853327299453158,0.01730433237057128,0.374317348002876,0.020998520560109958,6562.615894039745,6642.69435215948,1570.8006644518298,6525.584717607991,0.1579783845794617,0.1504223608582697,0.7990868767122675,0.16529097309558327,8.5234375,89.25,85.12913907284768,85.12913907284768,85.12913907284768,62.425477785454206,62.425477785454206,62.425477785454206,Cancerous
0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,2.1433011123732774e-05,2.1433011123732774e-05,1.0,2.1433011123732774e-05,46656.0,46656.0,0.0,46656.0,-1.0,-1.0,1.0,-1.0,8.625,135.5,119.0,119.0,119.0,108.0,108.0,108.0,0.07152623560300077,0.07154176234963948,0.0759606236142734,0.07128940966788731,0.01017027466319246,0.01840334708629734,0.16393337509593006,0.008719802761846062,11901.063414634129,12219.700980392185,2408.3651960784377,12031.480392156886,-0.12623581850715634,-0.15131627413796894,0.7731185506953552,-0.13328280969744538,9.9765625,84.57560975609756,133.2390243902439,133.2390243902439,133.2390243902439,72.68808362783548,72.68808362783548,72.68808362783548,Cancerous
0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,7.560864962951762e-05,7.560864962951762e-05,1.0,7.560864962951762e-05,13225.0,13225.0,0.0,13225.0,-1.0,-1.0,1.0,-1.0,10.03125,138.5,163.5,163.5,163.5,57.5,57.5,57.5,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,7.560864962951762e-05,7.560864962951762e-05,1.0,7.560864962951762e-05,13225.0,13225.0,0.0,13225.0,-1.0,-1.0,1.0,-1.0,10.03125,138.5,163.5,163.5,163.5,57.5,57.5,57.5,Cancerous
